threshold,grid_cell_id,period_id,latitude_band,ballooning_records,ballooning_events,ballooning_genera,n0_records,n0_events,n0_genera,paired_eligible
C1_D1_only,BJA25K_C+0002_R+0003,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R+0003,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R+0003,P2016_2020,28-30N,1,1,1,1,1,1,0
C1_D1_only,BJA25K_C+0002_R+0003,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R+0004,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R+0004,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R+0004,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R+0004,P2016_2020,28-30N,15,2,1,8,4,2,0
C1_D1_only,BJA25K_C+0002_R+0004,P2021_2025,28-30N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0002_R-0001,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R-0001,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R-0001,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R-0001,P2016_2020,26-28N,1,1,1,0,0,0,0
C1_D1_only,BJA25K_C+0002_R-0001,P2021_2025,26-28N,1,1,1,5,5,3,0
C1_D1_only,BJA25K_C+0002_R-0002,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R-0002,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R-0002,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0002_R-0002,P2016_2020,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0002_R-0002,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0001,P2001_2005,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0003_R-0001,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0001,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0001,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0001,P2021_2025,26-28N,0,0,0,2,2,2,0
C1_D1_only,BJA25K_C+0003_R-0005,P2001_2005,26-28N,0,0,0,2,1,1,0
C1_D1_only,BJA25K_C+0003_R-0005,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0005,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0005,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0005,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0006,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0006,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0006,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0006,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0003_R-0006,P2021_2025,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0004_R-0001,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0001,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0001,P2011_2015,26-28N,1,1,1,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0001,P2016_2020,26-28N,0,0,0,2,2,1,0
C1_D1_only,BJA25K_C+0004_R-0001,P2021_2025,26-28N,1,1,1,3,3,2,0
C1_D1_only,BJA25K_C+0004_R-0002,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0002,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0002,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0002,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0002,P2021_2025,26-28N,1,1,1,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0003,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0003,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0003,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0003,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0003,P2021_2025,26-28N,1,1,1,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0006,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0006,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0006,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0006,P2016_2020,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0004_R-0006,P2021_2025,26-28N,2,2,1,5,1,3,0
C1_D1_only,BJA25K_C+0004_R-0007,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0007,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0007,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0004_R-0007,P2016_2020,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0004_R-0007,P2021_2025,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0002,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0002,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0002,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0002,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0002,P2021_2025,26-28N,2,2,1,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0003,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0003,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0003,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0003,P2016_2020,26-28N,0,0,0,15,4,3,0
C1_D1_only,BJA25K_C+0005_R-0003,P2021_2025,26-28N,1,1,1,2,2,1,0
C1_D1_only,BJA25K_C+0005_R-0004,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0004,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0004,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0004,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0004,P2021_2025,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0005_R-0006,P2001_2005,26-28N,7,6,2,1,1,1,0
C1_D1_only,BJA25K_C+0005_R-0006,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0006,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0006,P2016_2020,26-28N,15,2,1,3,3,2,0
C1_D1_only,BJA25K_C+0005_R-0006,P2021_2025,26-28N,0,0,0,1,1,1,0
C1_D1_only,BJA25K_C+0005_R-0008,P2001_2005,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0008,P2006_2010,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0008,P2011_2015,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0008,P2016_2020,,0,0,0,0,0,0,0
C1_D1_only,BJA25K_C+0005_R-0008,P2021_2025,24-26N,1,1,1,0,0,0,0
