pair_id,grid_cell_id,period_1,period_2,predictor,core,period1_years,period2_years,sufficient
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,surface_heat_stress_z,0,5,5,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,vpd_extreme_stress_z,0,5,5,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,moisture_extreme_stress_z,0,5,5,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,rainfall_drought_stress_z,0,5,5,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,soil_water_stress_z,0,5,5,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,water_balance_stress_z,0,5,4,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,vegetation_extreme_stress_z,0,5,5,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,modis_lst_day_p95_c_stress_z,0,5,5,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,chirps_annual_precipitation_mm_stress_z,0,5,5,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,terraclimate_climate_water_deficit_mm_stress_z,0,5,4,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,modis_evi_p10_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,extended_stress_composite_z,1,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,thermal_extreme_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,air_heat_extreme_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,surface_heat_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,vpd_extreme_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,moisture_extreme_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,rainfall_drought_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,soil_water_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,water_balance_stress_z,0,5,4,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,vegetation_extreme_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,modis_lst_day_p95_c_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,chirps_annual_precipitation_mm_stress_z,0,5,5,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,terraclimate_climate_water_deficit_mm_stress_z,0,5,4,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,modis_evi_p10_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,extended_stress_composite_z,1,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,thermal_extreme_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,air_heat_extreme_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,surface_heat_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,vpd_extreme_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,moisture_extreme_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,rainfall_drought_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,soil_water_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,water_balance_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,vegetation_extreme_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,modis_lst_day_p95_c_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,chirps_annual_precipitation_mm_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,terraclimate_climate_water_deficit_mm_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,modis_evi_p10_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,extended_stress_composite_z,1,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,thermal_extreme_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,air_heat_extreme_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,surface_heat_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,vpd_extreme_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,moisture_extreme_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,rainfall_drought_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,soil_water_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,water_balance_stress_z,0,5,4,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,vegetation_extreme_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,modis_lst_day_p95_c_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,chirps_annual_precipitation_mm_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,terraclimate_climate_water_deficit_mm_stress_z,0,5,4,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,modis_evi_p10_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,extended_stress_composite_z,1,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,thermal_extreme_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,air_heat_extreme_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,surface_heat_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,vpd_extreme_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,moisture_extreme_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,rainfall_drought_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,soil_water_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,water_balance_stress_z,0,5,4,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,vegetation_extreme_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,modis_lst_day_p95_c_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,chirps_annual_precipitation_mm_stress_z,0,5,5,1
