grid_cell_id,period_1,period_2,latitude_band,period_1_paired_eligible,period_2_paired_eligible,temporal_pair_eligible
BJA25K_C+0004_R-0001,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0004_R-0001,P2006_2010,P2011_2015,26-28N,0,0,0
BJA25K_C+0004_R-0001,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0004_R-0001,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0004_R-0002,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0004_R-0002,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0004_R-0002,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0004_R-0002,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0004_R-0003,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0004_R-0003,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0004_R-0003,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0004_R-0003,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0004_R-0006,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0004_R-0006,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0004_R-0006,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0004_R-0006,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0004_R-0007,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0004_R-0007,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0004_R-0007,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0004_R-0007,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0005_R-0002,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0005_R-0002,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0005_R-0002,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0005_R-0002,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0005_R-0003,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0005_R-0003,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0005_R-0003,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0005_R-0003,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0005_R-0004,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0005_R-0004,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0005_R-0004,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0005_R-0004,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0005_R-0005,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0005_R-0005,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0005_R-0005,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0005_R-0005,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0005_R-0006,P2001_2005,P2006_2010,26-28N,0,0,0
BJA25K_C+0005_R-0006,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0005_R-0006,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0005_R-0006,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0005_R-0008,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0005_R-0008,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0005_R-0008,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0005_R-0008,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0005_R-0009,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0005_R-0009,P2006_2010,P2011_2015,24-26N,0,0,0
BJA25K_C+0005_R-0009,P2011_2015,P2016_2020,24-26N,0,0,0
BJA25K_C+0005_R-0009,P2016_2020,P2021_2025,,0,0,0
BJA25K_C+0005_R-0011,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0005_R-0011,P2006_2010,P2011_2015,24-26N,0,0,0
BJA25K_C+0005_R-0011,P2011_2015,P2016_2020,24-26N,0,0,0
BJA25K_C+0005_R-0011,P2016_2020,P2021_2025,,0,0,0
BJA25K_C+0005_R-0012,P2001_2005,P2006_2010,24-26N,0,0,0
BJA25K_C+0005_R-0012,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0005_R-0012,P2011_2015,P2016_2020,24-26N,0,0,0
BJA25K_C+0005_R-0012,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0005_R-0013,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0005_R-0013,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0005_R-0013,P2011_2015,P2016_2020,24-26N,0,0,0
BJA25K_C+0005_R-0013,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0006_R-0003,P2001_2005,P2006_2010,26-28N,0,0,0
BJA25K_C+0006_R-0003,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0006_R-0003,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0006_R-0003,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0006_R-0004,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0006_R-0004,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0006_R-0004,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0006_R-0004,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0006_R-0006,P2001_2005,P2006_2010,26-28N,0,0,0
BJA25K_C+0006_R-0006,P2006_2010,P2011_2015,26-28N,0,0,0
BJA25K_C+0006_R-0006,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0006_R-0006,P2016_2020,P2021_2025,,0,0,0
BJA25K_C+0006_R-0007,P2001_2005,P2006_2010,26-28N,1,0,0
BJA25K_C+0006_R-0007,P2006_2010,P2011_2015,26-28N,0,0,0
BJA25K_C+0006_R-0007,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0006_R-0007,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0006_R-0009,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0006_R-0009,P2006_2010,P2011_2015,24-26N,0,0,0
BJA25K_C+0006_R-0009,P2011_2015,P2016_2020,24-26N,0,0,0
BJA25K_C+0006_R-0009,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0006_R-0011,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0006_R-0011,P2006_2010,P2011_2015,24-26N,0,0,0
BJA25K_C+0006_R-0011,P2011_2015,P2016_2020,24-26N,0,0,0
BJA25K_C+0006_R-0011,P2016_2020,P2021_2025,,0,0,0
BJA25K_C+0006_R-0012,P2001_2005,P2006_2010,24-26N,0,0,0
BJA25K_C+0006_R-0012,P2006_2010,P2011_2015,24-26N,0,0,0
BJA25K_C+0006_R-0012,P2011_2015,P2016_2020,24-26N,0,0,0
BJA25K_C+0006_R-0012,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0006_R-0013,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0006_R-0013,P2006_2010,P2011_2015,24-26N,0,0,0
BJA25K_C+0006_R-0013,P2011_2015,P2016_2020,24-26N,0,0,0
BJA25K_C+0006_R-0013,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0007_R-0005,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0007_R-0005,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0007_R-0005,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0007_R-0005,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0007_R-0006,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0007_R-0006,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0007_R-0006,P2011_2015,P2016_2020,26-28N,0,0,0
BJA25K_C+0007_R-0006,P2016_2020,P2021_2025,26-28N,0,0,0
BJA25K_C+0007_R-0008,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0007_R-0008,P2006_2010,P2011_2015,24-26N,0,0,0
BJA25K_C+0007_R-0008,P2011_2015,P2016_2020,24-26N,0,0,0
BJA25K_C+0007_R-0008,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0007_R-0009,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0007_R-0009,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0007_R-0009,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0007_R-0009,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0007_R-0010,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0007_R-0010,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0007_R-0010,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0007_R-0010,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0007_R-0011,P2001_2005,P2006_2010,,0,0,0
BJA25K_C+0007_R-0011,P2006_2010,P2011_2015,,0,0,0
BJA25K_C+0007_R-0011,P2011_2015,P2016_2020,,0,0,0
BJA25K_C+0007_R-0011,P2016_2020,P2021_2025,24-26N,0,0,0
BJA25K_C+0007_R-0013,P2001_2005,P2006_2010,24-26N,0,0,0
BJA25K_C+0007_R-0013,P2006_2010,P2011_2015,24-26N,0,1,0
