pair_id,grid_cell_id,period_1,period_2,predictor,core,period1_years,period2_years,sufficient
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,vegetation_stress_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,mean_temperature_anomaly_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,hot_days_35c_anomaly_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,precipitation_deficit_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,soil_water_deficit_z,0,5,5,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,evi_deficit_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,stress_composite_z,1,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,thermal_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,vpd_anomaly_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,moisture_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,vegetation_stress_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,mean_temperature_anomaly_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,hot_days_35c_anomaly_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,precipitation_deficit_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,soil_water_deficit_z,0,5,5,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,evi_deficit_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,stress_composite_z,1,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,thermal_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,vpd_anomaly_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,moisture_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,vegetation_stress_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,mean_temperature_anomaly_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,hot_days_35c_anomaly_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,precipitation_deficit_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,soil_water_deficit_z,0,5,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,evi_deficit_z,0,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,stress_composite_z,1,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,thermal_stress_z,0,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,vpd_anomaly_z,0,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,moisture_stress_z,0,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,vegetation_stress_z,0,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,mean_temperature_anomaly_z,0,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,hot_days_35c_anomaly_z,0,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,precipitation_deficit_z,0,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,soil_water_deficit_z,0,5,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,evi_deficit_z,0,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,stress_composite_z,1,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,thermal_stress_z,0,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,vpd_anomaly_z,0,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,moisture_stress_z,0,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,vegetation_stress_z,0,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,mean_temperature_anomaly_z,0,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,hot_days_35c_anomaly_z,0,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,precipitation_deficit_z,0,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,soil_water_deficit_z,0,5,5,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,evi_deficit_z,0,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,stress_composite_z,1,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,thermal_stress_z,0,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,vpd_anomaly_z,0,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,moisture_stress_z,0,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,vegetation_stress_z,0,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,mean_temperature_anomaly_z,0,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,hot_days_35c_anomaly_z,0,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,precipitation_deficit_z,0,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,soil_water_deficit_z,0,5,5,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,evi_deficit_z,0,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,stress_composite_z,1,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,thermal_stress_z,0,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,vpd_anomaly_z,0,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,moisture_stress_z,0,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,vegetation_stress_z,0,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,mean_temperature_anomaly_z,0,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,hot_days_35c_anomaly_z,0,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,precipitation_deficit_z,0,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,soil_water_deficit_z,0,5,5,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,evi_deficit_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,stress_composite_z,1,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,thermal_stress_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,vpd_anomaly_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,moisture_stress_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,vegetation_stress_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,mean_temperature_anomaly_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,hot_days_35c_anomaly_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,precipitation_deficit_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,soil_water_deficit_z,0,5,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,evi_deficit_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,stress_composite_z,1,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,thermal_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,vpd_anomaly_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,moisture_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,vegetation_stress_z,0,5,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,mean_temperature_anomaly_z,0,5,5,1
